feature,input_perturbation_pct,avg_prediction_change_pct,prediction_std
lag_1,-30.0,-8.092589378356934,8.000686645507812
lag_1,-15.0,-4.1247944831848145,8.582321166992188
lag_1,0.0,0.0,9.166135787963867
lag_1,15.0,3.8302488327026367,9.533608436584473
lag_1,30.0,7.974712371826172,9.955855369567871
lag_7,-30.0,-0.03832165524363518,9.1069917678833
lag_7,-15.0,-0.033968281000852585,9.146058082580566
lag_7,0.0,0.0,9.166135787963867
lag_7,15.0,-0.0007181659457273781,9.148722648620605
lag_7,30.0,-0.027626272290945053,9.135826110839844
roll_mean_7,-30.0,-14.392690658569336,8.03464126586914
roll_mean_7,-15.0,-7.249671936035156,8.633829116821289
roll_mean_7,0.0,0.0,9.166135787963867
roll_mean_7,15.0,6.454489231109619,9.74171257019043
roll_mean_7,30.0,13.361050605773926,10.248011589050293
price_lag_1,-30.0,1.0107488632202148,9.142651557922363
price_lag_1,-15.0,0.4081011712551117,9.182802200317383
price_lag_1,0.0,0.0,9.166135787963867
price_lag_1,15.0,-0.3973807096481323,9.152637481689453
price_lag_1,30.0,-0.7403900027275085,9.112565994262695
item_expanding_mean_demand,-30.0,-2.1994869709014893,8.909953117370605
item_expanding_mean_demand,-15.0,-1.114441156387329,9.076974868774414
item_expanding_mean_demand,0.0,0.0,9.166135787963867
item_expanding_mean_demand,15.0,0.9661825299263,9.185928344726562
item_expanding_mean_demand,30.0,2.349813938140869,9.211621284484863
